,Forecasted_Load,Actual_Load
2020-01-01 00:00:00+01:00,427.0,468.0
2020-01-01 01:00:00+01:00,393.0,448.0
2020-01-01 02:00:00+01:00,382.75,430.75
2020-01-01 03:00:00+01:00,387.75,422.0
2020-01-01 04:00:00+01:00,384.5,417.0
2020-01-01 05:00:00+01:00,392.75,420.5
2020-01-01 06:00:00+01:00,394.5,422.75
2020-01-01 07:00:00+01:00,417.75,437.0
2020-01-01 08:00:00+01:00,436.75,442.0
2020-01-01 09:00:00+01:00,448.0,446.0
2020-01-01 10:00:00+01:00,465.5,463.0
2020-01-01 11:00:00+01:00,486.0,489.75
2020-01-01 12:00:00+01:00,480.75,503.5
2020-01-01 13:00:00+01:00,468.5,499.75
2020-01-01 14:00:00+01:00,458.5,492.0
2020-01-01 15:00:00+01:00,461.25,487.0
2020-01-01 16:00:00+01:00,476.25,498.25
2020-01-01 17:00:00+01:00,503.75,529.25
2020-01-01 18:00:00+01:00,516.0,541.25
2020-01-01 19:00:00+01:00,508.5,533.5
2020-01-01 20:00:00+01:00,477.75,513.25
2020-01-01 21:00:00+01:00,457.25,492.75
2020-01-01 22:00:00+01:00,470.25,497.0
2020-01-01 23:00:00+01:00,447.0,478.5
2020-01-02 00:00:00+01:00,434.25,457.0
2020-01-02 01:00:00+01:00,407.25,434.5
2020-01-02 02:00:00+01:00,395.5,427.0
2020-01-02 03:00:00+01:00,396.5,423.0
2020-01-02 04:00:00+01:00,404.75,432.75
2020-01-02 05:00:00+01:00,430.0,460.0
2020-01-02 06:00:00+01:00,457.5,505.75
2020-01-02 07:00:00+01:00,504.5,566.25
2020-01-02 08:00:00+01:00,539.75,610.75
2020-01-02 09:00:00+01:00,545.0,631.25
2020-01-02 10:00:00+01:00,546.5,648.0
2020-01-02 11:00:00+01:00,550.75,667.75
2020-01-02 12:00:00+01:00,569.75,668.0
2020-01-02 13:00:00+01:00,560.0,652.5
2020-01-02 14:00:00+01:00,542.25,635.5
2020-01-02 15:00:00+01:00,530.0,624.5
2020-01-02 16:00:00+01:00,548.0,633.75
2020-01-02 17:00:00+01:00,590.75,654.75
2020-01-02 18:00:00+01:00,595.25,658.5
2020-01-02 19:00:00+01:00,582.25,641.0
2020-01-02 20:00:00+01:00,547.75,596.75
2020-01-02 21:00:00+01:00,515.0,557.5
2020-01-02 22:00:00+01:00,510.25,543.25
2020-01-02 23:00:00+01:00,491.0,514.25
2020-01-03 00:00:00+01:00,471.25,481.5
2020-01-03 01:00:00+01:00,450.25,461.0
2020-01-03 02:00:00+01:00,437.75,448.25
2020-01-03 03:00:00+01:00,433.25,443.25
2020-01-03 04:00:00+01:00,440.75,444.5
2020-01-03 05:00:00+01:00,486.25,476.0
2020-01-03 06:00:00+01:00,523.5,514.0
2020-01-03 07:00:00+01:00,562.75,570.0
2020-01-03 08:00:00+01:00,602.25,613.0
2020-01-03 09:00:00+01:00,613.0,629.25
2020-01-03 10:00:00+01:00,619.75,647.5
2020-01-03 11:00:00+01:00,620.5,666.75
2020-01-03 12:00:00+01:00,617.5,668.25
2020-01-03 13:00:00+01:00,609.75,650.5
2020-01-03 14:00:00+01:00,607.75,636.25
2020-01-03 15:00:00+01:00,613.0,621.75
2020-01-03 16:00:00+01:00,621.25,623.5
2020-01-03 17:00:00+01:00,640.0,645.0
2020-01-03 18:00:00+01:00,632.25,651.0
2020-01-03 19:00:00+01:00,614.0,631.25
2020-01-03 20:00:00+01:00,596.0,593.0
2020-01-03 21:00:00+01:00,578.5,556.0
2020-01-03 22:00:00+01:00,553.75,543.25
2020-01-03 23:00:00+01:00,506.25,516.0
2020-01-04 00:00:00+01:00,507.0,486.75
2020-01-04 01:00:00+01:00,486.25,469.5
2020-01-04 02:00:00+01:00,471.25,459.75
2020-01-04 03:00:00+01:00,465.25,453.75
2020-01-04 04:00:00+01:00,465.75,455.5
2020-01-04 05:00:00+01:00,481.25,473.25
2020-01-04 06:00:00+01:00,520.25,482.0
2020-01-04 07:00:00+01:00,552.0,508.5
2020-01-04 08:00:00+01:00,588.5,533.75
2020-01-04 09:00:00+01:00,583.5,555.75
2020-01-04 10:00:00+01:00,589.5,571.25
2020-01-04 11:00:00+01:00,604.5,589.5
2020-01-04 12:00:00+01:00,622.25,594.5
2020-01-04 13:00:00+01:00,609.75,583.75
2020-01-04 14:00:00+01:00,597.0,570.25
2020-01-04 15:00:00+01:00,587.5,563.5
2020-01-04 16:00:00+01:00,601.25,574.0
2020-01-04 17:00:00+01:00,632.75,605.75
2020-01-04 18:00:00+01:00,642.25,614.0
2020-01-04 19:00:00+01:00,624.75,596.0
2020-01-04 20:00:00+01:00,582.25,566.75
2020-01-04 21:00:00+01:00,564.0,535.5
2020-01-04 22:00:00+01:00,540.5,536.0
2020-01-04 23:00:00+01:00,509.5,508.0
2020-01-05 00:00:00+01:00,489.0,483.5
2020-01-05 01:00:00+01:00,469.25,465.5
2020-01-05 02:00:00+01:00,456.75,449.25
2020-01-05 03:00:00+01:00,449.75,444.25
2020-01-05 04:00:00+01:00,451.0,440.5
2020-01-05 05:00:00+01:00,453.25,444.75
2020-01-05 06:00:00+01:00,456.25,453.25
2020-01-05 07:00:00+01:00,487.0,472.75
2020-01-05 08:00:00+01:00,513.5,488.0
2020-01-05 09:00:00+01:00,530.25,508.5
2020-01-05 10:00:00+01:00,550.0,541.5
2020-01-05 11:00:00+01:00,576.0,570.75
2020-01-05 12:00:00+01:00,578.0,580.5
2020-01-05 13:00:00+01:00,558.0,559.5
2020-01-05 14:00:00+01:00,548.75,546.75
2020-01-05 15:00:00+01:00,534.5,538.75
2020-01-05 16:00:00+01:00,548.5,545.5
2020-01-05 17:00:00+01:00,585.5,584.75
2020-01-05 18:00:00+01:00,605.0,597.5
2020-01-05 19:00:00+01:00,594.5,583.0
2020-01-05 20:00:00+01:00,562.5,556.0
2020-01-05 21:00:00+01:00,531.25,527.5
