,Actual_Load
2020-01-01 00:00:00+01:00,468.0
2020-01-01 01:00:00+01:00,448.0
2020-01-01 02:00:00+01:00,430.75
2020-01-01 03:00:00+01:00,422.0
2020-01-01 04:00:00+01:00,417.0
2020-01-01 05:00:00+01:00,420.5
2020-01-01 06:00:00+01:00,422.75
2020-01-01 07:00:00+01:00,437.0
2020-01-01 08:00:00+01:00,442.0
2020-01-01 09:00:00+01:00,446.0
2020-01-01 10:00:00+01:00,463.0
2020-01-01 11:00:00+01:00,489.75
2020-01-01 12:00:00+01:00,503.5
2020-01-01 13:00:00+01:00,499.75
2020-01-01 14:00:00+01:00,492.0
2020-01-01 15:00:00+01:00,487.0
2020-01-01 16:00:00+01:00,498.25
2020-01-01 17:00:00+01:00,529.25
2020-01-01 18:00:00+01:00,541.25
2020-01-01 19:00:00+01:00,533.5
2020-01-01 20:00:00+01:00,513.25
2020-01-01 21:00:00+01:00,492.75
2020-01-01 22:00:00+01:00,497.0
2020-01-01 23:00:00+01:00,478.5
2020-01-02 00:00:00+01:00,457.0
2020-01-02 01:00:00+01:00,434.5
2020-01-02 02:00:00+01:00,427.0
2020-01-02 03:00:00+01:00,423.0
2020-01-02 04:00:00+01:00,432.75
2020-01-02 05:00:00+01:00,460.0
2020-01-02 06:00:00+01:00,505.75
2020-01-02 07:00:00+01:00,566.25
2020-01-02 08:00:00+01:00,610.75
2020-01-02 09:00:00+01:00,631.25
2020-01-02 10:00:00+01:00,648.0
2020-01-02 11:00:00+01:00,667.75
2020-01-02 12:00:00+01:00,668.0
2020-01-02 13:00:00+01:00,652.5
2020-01-02 14:00:00+01:00,635.5
2020-01-02 15:00:00+01:00,624.5
2020-01-02 16:00:00+01:00,633.75
2020-01-02 17:00:00+01:00,654.75
2020-01-02 18:00:00+01:00,658.5
2020-01-02 19:00:00+01:00,641.0
2020-01-02 20:00:00+01:00,596.75
2020-01-02 21:00:00+01:00,557.5
2020-01-02 22:00:00+01:00,543.25
2020-01-02 23:00:00+01:00,514.25
2020-01-03 00:00:00+01:00,481.5
2020-01-03 01:00:00+01:00,461.0
2020-01-03 02:00:00+01:00,448.25
2020-01-03 03:00:00+01:00,443.25
2020-01-03 04:00:00+01:00,444.5
2020-01-03 05:00:00+01:00,476.0
2020-01-03 06:00:00+01:00,514.0
2020-01-03 07:00:00+01:00,570.0
2020-01-03 08:00:00+01:00,613.0
2020-01-03 09:00:00+01:00,629.25
2020-01-03 10:00:00+01:00,647.5
2020-01-03 11:00:00+01:00,666.75
2020-01-03 12:00:00+01:00,668.25
2020-01-03 13:00:00+01:00,650.5
2020-01-03 14:00:00+01:00,636.25
2020-01-03 15:00:00+01:00,621.75
2020-01-03 16:00:00+01:00,623.5
2020-01-03 17:00:00+01:00,645.0
2020-01-03 18:00:00+01:00,651.0
2020-01-03 19:00:00+01:00,631.25
2020-01-03 20:00:00+01:00,593.0
